Ref,X,Y,R
FIDUCIAL,2.5,98.5,0
FIDUCIAL,37.5,73.5,0
FIDUCIAL,4.5,2,0
C1,14.75,93.75,180
C2,28,82.25,180
C3,12,82.25,180
C4,28,80.5,180
C5,12,80.5,0
C6,20,76.5,0
C7,28,75.25,0
C8,20,73,180
C9,7.49,71.51,90
C10,32.5,64.5,270
C11,7.5,64.5,90
C12,20,58,180
C13,37.5,54.75,180
C14,2.5,54.75,180
C15,37.5,53,180
C16,2.5,53,180
C17,34.5,48.5,90
C18,5.5,48.5,270
C19,2.75,39.5,180
C20,23.25,37.5,270
C21,16.75,37.5,270
C22,37.5,36.5,270
C23,2.75,36,0
C24,10.25,35.75,180
C25,27,33.75,0
C26,37.5,24,270
C27,29.5,21.5,0
C28,26,21.5,0
C29,14,21.5,0
C30,10.5,21.5,0
C31,20,20.5,0
C32,37.5,11.5,270
C33,22,11.5,270
C34,27.75,8,0
D1,28,54.75,0
D2,12,54.75,0
H1,19.73,103.24,180
H2,21,88,180
L1,27.25,38.25,0
Q1,6.5,25,90
Q2,6.5,21.25,90
Q3,6.5,12.5,90
Q4,6.5,8.75,90
R1,14.75,95.5,180
R2,28,78.75,0
R3,28,77,180
R4,20,71.25,180
R5,20,56.25,180
R6,2.75,37.75,180
R7,35,37.5,0
R8,35,35.75,0
R9,35,34,180
R10,29.5,26.75,0
R11,26,26.75,0
R12,14,26.75,0
R13,10.5,26.75,0
R14,35,25,0
R15,29.5,25,180
R16,26,25,180
R17,14,25,180
R18,10.5,25,180
R19,3.5,25,90
R20,1.75,25,270
R21,35,23.25,0
R22,29.5,23.25,0
R23,26,23.25,0
R24,14,23.25,0
R25,10.5,23.25,0
R26,35,21.5,180
R27,3.5,21.25,90
R28,1.75,21.25,270
R29,29.5,19.75,180
R30,26,19.75,180
R31,14,19.75,180
R32,10.5,19.75,180
R33,35,12.5,0
R34,19.5,12.5,0
R35,3.5,12.5,90
R36,1.75,12.5,270
R37,35,10.75,0
R38,19.5,10.75,0
R39,35,9,180
R40,19.5,9,180
R41,3.5,8.75,90
R42,1.75,8.75,270
U1,20,80.25,270
U2,20,64.5,270
U3,20,35.75,270
U4,2.75,33,180
U5,20,24.25,270
U6,27.75,11.75,270